city,state_id,state_name,county_fips,county_name,zips
Riverside,UT,Utah,49003,Box Elder,84311 84312 84334
Stone Harbor,NJ,New Jersey,34009,Cape May,8247
Woods Bay,MT,Montana,30047,Lake,59911
Mountain City,TX,Texas,48209,Hays,78610 78640
Annabella,UT,Utah,49041,Sevier,84701 84711
Humboldt,NE,Nebraska,31147,Richardson,68376
East Newnan,GA,Georgia,13077,Coweta,30263
Edon,OH,Ohio,39171,Williams,43518
Benton,PA,Pennsylvania,42037,Columbia,17814
Juncal,PR,Puerto Rico,72131,San Sebastián,685
Fifth Ward,LA,Louisiana,22009,Avoyelles,71351
Tranquillity,CA,California,6019,Fresno,93668
Highfield-Cascade,MD,Maryland,24043,Washington,21719
Camden,NC,North Carolina,37029,Camden,27921
Carson,IA,Iowa,19155,Pottawattamie,51525
Hilshire Village,TX,Texas,48201,Harris,77055
Henning,MN,Minnesota,27111,Otter Tail,56551
Hilltop,WV,West Virginia,54019,Fayette,25901 25855
Hartrandt,WY,Wyoming,56025,Natrona,82601
Parksley,VA,Virginia,51001,Accomack,23421
Bowman,GA,Georgia,13105,Elbert,30624
El Rito,NM,New Mexico,35039,Rio Arriba,87530
Garber,OK,Oklahoma,40047,Garfield,73738
Lyons,MI,Michigan,26067,Ionia,48851
Davenport,OK,Oklahoma,40081,Lincoln,74026
Sewickley Heights,PA,Pennsylvania,42003,Allegheny,15143
Marengo,IN,Indiana,18025,Crawford,47140
Waverly Hall,GA,Georgia,13145,Harris,31831
Mora,NM,New Mexico,35033,Mora,87732
Vaughn,MT,Montana,30013,Cascade,59404 59487 59403
Pineville,MO,Missouri,29119,McDonald,64854 64856 64831
Walnut Grove,MN,Minnesota,27127,Redwood,56180
Hollow Creek,KY,Kentucky,21111,Jefferson,40228
Martin Lake,MN,Minnesota,27003,Anoka,55079
Soudersburg,PA,Pennsylvania,42071,Lancaster,17572 17529
Faith,NC,North Carolina,37159,Rowan,28146 28041
Burr Oak,MI,Michigan,26149,St. Joseph,49030
Correctionville,IA,Iowa,19193,Woodbury,51016
Colver,PA,Pennsylvania,42021,Cambria,15927
South Webster,OH,Ohio,39145,Scioto,45682
Joaquin,TX,Texas,48419,Shelby,75954
Aguanga,CA,California,6065,Riverside,92536
Dollar Point,CA,California,6061,Placer,96145
Limestone,OK,Oklahoma,40131,Rogers,74055 74019
Junction City,OH,Ohio,39127,Perry,43748
Wellington,MO,Missouri,29107,Lafayette,64097
Harrison,IL,Illinois,17077,Jackson,62966
Earlville,NY,New York,36053,Madison,13332
Lakes of the North,MI,Michigan,26009,Antrim,49730 49659
Pahoa,HI,Hawaii,15001,Hawaii,96778
Davidsville,PA,Pennsylvania,42111,Somerset,15928
Scotland,SD,South Dakota,46009,Bon Homme,57059
Livingston,IL,Illinois,17119,Madison,62058
Orrick,MO,Missouri,29177,Ray,64077
Menan,ID,Idaho,16051,Jefferson,83434
Beatty,NV,Nevada,32023,Nye,89003
Lewisburg,KY,Kentucky,21141,Logan,42256
Mountainaire,AZ,Arizona,4005,Coconino,86001
Hills,IA,Iowa,19103,Johnson,52240 52327 52235
Carolina,RI,Rhode Island,44009,Washington,02812 02813
Saltsburg,PA,Pennsylvania,42063,Indiana,15681
